Sample_id,LUM_92,LUM_85,LUM_80,LUM_75,LUM_73,LUM_67,LUM_62,LUM_58,LUM_57,LUM_55,LUM_53,LUM_46,LUM_42,LUM_39,LUM_31,LUM_317,LUM_313,LUM_29,LUM_248,LUM_247,LUM_246,LUM_245,LUM_244,LUM_243,LUM_242,LUM_241,LUM_240,LUM_239,LUM_238,LUM_237,LUM_236,LUM_235,LUM_234,LUM_233,LUM_232,LUM_231,LUM_230,LUM_229,LUM_228,LUM_227,LUM_226,LUM_225,LUM_223,LUM_139,LUM_138,LUM_115,LUM_108,LUM_105,LUM_103,LUM_06,LUM_01,LUM3_976,LUM3_972,LUM3_969,LUM3_796,LUM3_583,LUM3_570,LUM3_566,LUM3_556,LUM3_546,LUM3_188,LUM3_185,LUM3_182,LUM3_181,LUM3_173,LUM3_170,LUM3_168,LUM3_156,IGRR015,IGRR014,IGRR013,IGRR012,IGRR011,IGRR010,IGRR009,IGRR008,IGRR007,IGRR006,IGRR005,IGRR004,IGRR003,IGRR002,IGRR001
GGB4667_SGB6456,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.24575,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.41064,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.24997,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,2.49126,0.0
GGB9677_SGB15180,0,0.074,0.0,0.37178,0,0.0,0.97624,0.0,0.0,0.0,0,0.0,0.0,0.01312,0,0.0,0.57415,0,0.0,0,1.19402,0,0,0.56322,0.06336,8.81172,0.11645,0.0006,0,0.00744,0.0,0.0,0.0,0.0,0,0,0.0,0.29815,1.07078,0.0,0.09108,0.17525,0.0,0,0.0,0.0,0,0.13087,0.58738,0.0,0,0.23997,0.0,0.0,0.0,0.08416,0.0,0,0.01013,0.00427,0.0,1.23725,0.0,0.04152,0.14381,0,0.0032,0.51879,0.0,5.87546,0.24084,0.0,0.04139,0,0.0,0.86168,0.00645,0.59289,0.0,0,0.0,2.33749,0.0
Akkermansia_muciniphila,2.46553,0.27209,0.34988,0,0,0.0,0.11124,0.0,0.00089,0.29049,2.26322,0.0,0.0,0.85788,0,0.0,4.09737,0,0.0,0,0.0,0,0,0.81035,0.02732,4.66235,0.01934,3.80544,10.44137,0.12988,0.20952,0.0,0.12843,0.07108,1.47453,0,0.11194,0.36668,0,0.00351,0.00533,8.32671,1.90812,0.08936,0.44803,12.29151,0,0,0,0.07642,0,0.27206,0.0,0.0,0.0,0.0,2.96151,0,0.9137,0.51099,0.2022,0.38539,0.03402,0.78395,4.7953,8.27727,0.02019,3.60244,0.0,4.70055,7.63119,0.0,1.47999,3.39362,0.0,0.87695,0.0,2.35959,0.034,0,0.68383,2.28239,0.57396
Clostridia_bacterium,2.77113,3.8345,0.16962,3.7071,0.52552,0.13269,1.04141,0.41961,0.05181,0.46192,10.8889,2.37876,0.00171,2.42544,2.0074,0.58576,4.95251,0.47053,0.63466,0.11227,2.56876,0.42482,10.23854,0.46998,0.14125,1.31775,3.57281,3.31544,2.49253,1.29831,1.12233,4.59714,0.44143,0.95985,1.56459,3.45113,0.5398,1.45541,6.5269,0.1599,2.46931,9.83962,1.95192,3.20491,0.49739,2.711,3.06523,5.92632,20.02375,0.90159,0.52209,7.96525,1.07547,3.31506,0.4836,1.88872,1.77125,0.97523,4.30774,2.93135,0.56801,1.34036,0.20099,3.0105,3.71809,4.06196,3.12138,4.68837,0.3388,9.18166,1.87806,14.10034,5.81279,3.67631,0.04997,1.1687,11.15957,2.81323,1.51205,1.87824,1.47085,10.75614,0.55897
Bacteroides_uniformis,0.89636,1.36696,4.54411,1.9923,2.7706,0.0,4.5644,5.32621,11.258,1.9954,0.08245,4.32557,4.81266,2.46231,2.5863,1.90737,0.38184,23.94416,7.8364,7.41045,1.72945,14.35293,0.00632,2.1008,5.43358,0.23211,12.08986,3.29535,13.69185,4.14084,2.95087,18.5539,2.49769,2.18268,6.99503,6.48428,1.03627,2.5984,0.64643,0.9341,19.54878,1.86008,3.51695,6.26537,3.42084,4.24783,10.32739,1.71955,0.47621,2.43001,1.76133,4.90259,7.3807,29.43594,0.08008,1.97945,2.91871,0.63779,1.05259,1.50024,8.46527,5.39748,9.23898,3.74971,4.42175,2.97501,2.81766,6.57328,33.39116,2.34843,9.18527,2.61246,1.0513,0.50034,12.27542,8.99481,1.01153,5.5032,4.06049,4.98104,5.83735,10.32804,12.06849
GGB9045_SGB13947,0,1.69525,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.00116,0.43174,0.0,0,0.0,0.0,0.0,0,0.0,1.77074,0.0
Lentisphaeria_bacterium,0,0.35684,0.0,0.11451,0.00345,0.0,0.21858,0.14822,0.00608,0.16993,0.5598,0.0,0.0,0.32271,0.17556,0.0,0.84848,0,0.0,0,0.12783,0.01156,0,0.05638,0.0,0.25801,1.09695,0.11063,0.37294,0.01165,0.07037,0.0,0.0,0.0,0,0.57983,0.0,0.47352,0.06751,0.0,0.18078,0.45126,0.0,0,0.19439,0.50569,0.12236,0.52186,0.99844,0.0,0,0,0.0,0.0,0.0,0.07378,0.07308,0.00043,0.25991,0.05997,0.09109,0.05891,0.0623,0.38178,0.68933,0.0329,0.03493,0,0.0,0.6595,0,1.11633,0.03413,0.26288,0.12085,0,0.03312,0.30335,0.12908,0.26898,0.01683,1.59423,0.0
GGB9350_SGB14317,1.27115,0.05207,0.0,0,0,0.0,0.02673,0.0,0.0,0.0,0.00388,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.12233,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.68318,0.0,0.0,0.0,0.0227,0,0.0,0.0,0.61686,0.21552,0.1015,0.0,0,0,0.0,0.0,0.0,0.00062,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.09585,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1.49236,0.0
Bacteroides_sp_Marseille_P3684,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,1.34429,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1.31474,0.0
Methanomassiliicoccaceae_unclassified_SGB380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.19788,0,0.0,0.0,0,0.0,0,0.6171,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.26568,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.00034,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1.29406,0.0
GGB1689_SGB2321,0.48917,0.82509,0.0,0,0.03184,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.56498,0,0.0,0.16931,0,0.0,0,0.0,0,0,0.2475,0.0,0.0,0.0,0,0,0.0588,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.7761,0.0,0.0,0.85567,0.0,0,0.0,0.0,0,0,0.17513,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.36669,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.18803,0,0.0,0.0,0.626,0.0,0,0.0,0.0,0.0,0,0.0,1.26257,0.0
GGB4676_SGB6465,0,0.16258,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.05695,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.2079,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.23839,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.00901,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0373,0,0.0,1.20062,0.0
GGB9602_SGB15031,0,0.29635,0.0,0.10893,0.15803,0.0,0.0,0.58083,0.0,0.0,0.22323,0.0,0.0,0.31851,0.03046,0.0,0.028,0,0.0,0.22822,0.08418,0,0,0.0,0.0,0.0,0.0,0,0,0.63304,0.0,0.06759,0.0,0.0,1.64402,0.76831,0.0,0.0,0,0.0,0.0,0.52211,0.0,0.01752,0.0,0.0,0,0.8316,1.18958,0.0,0.03889,0,0.00963,0.0,0.02163,1.98549,0.0,0,0.31783,0.64954,0.00942,0,0.03049,0.56765,0.22603,0,0.13518,0.00092,0.0,0.03836,0,0.0,0.40625,0.79735,0.0,0,0.01063,0.12423,0.00423,0,0.48058,1.19348,0.0
GGB4671_SGB6460,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1.14712,0.0
Ruminococcaceae_bacterium,2.9796,1.18902,0.1628,1.19168,0.30187,0.04912,1.00415,1.77263,0.0,0.05499,0.76523,0.58271,0.0,2.80515,1.71151,0.03742,2.40844,0.11262,0.20626,1.62058,0.95211,0.12258,0,0.59475,0.0,0.08321,1.4569,0.44686,0.37553,0.61185,0.58357,0.01272,0.05615,0.00208,1.07206,2.48513,0.2521,1.9289,0.86101,0.35059,0.36481,0.74198,6.46408,0.53137,0.00217,1.22041,6.91512,4.06087,1.67664,1.2891,0.01083,1.89886,0.04733,2.41495,0.15088,0.97241,0.01037,0.02426,1.55578,1.99534,0.06586,0.58405,0.14838,1.87296,1.39562,0.00913,0.89681,0.97748,0.0,1.82865,2.12138,0.01043,0.59634,3.23665,0.0,0.01131,3.16761,0.60484,0.70506,1.29308,0.60111,1.08353,0.70561
Bifidobacterium_longum,0.33936,0,0.0,0,0,0.38639,0.07447,0.0955,0.0073,0.03467,0.00504,0.24534,0.13386,0.39677,0.01092,0.08301,0.0,0.07777,0.0,0.00197,0.05923,0,0,0.0173,0.19789,0.05606,0.38388,0.49007,0,0.12101,0.00953,0.03054,0.03133,0.02376,0.17235,0.52282,0.00028,0.17812,0.01677,0.01253,0.0,0.01781,0.14485,0.09286,0.04935,0.0,0,0,0.1374,0.14669,1.02459,0,0.77695,0.01152,0.0014,0.0,0.38293,1.57376,0.31844,0.0,0.00369,0,0.21924,0,0.00313,0.48138,0.14699,0.45184,0.0,0,0,0.0,0.04661,0.12652,0.38229,0,0.0,0.13188,0.00842,0.03083,0.02622,1.06632,0.01989
GGB1691_SGB2323,0,0,0.0,0,0.03787,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0132,0.09214,0,0,0,0.0,0,0,0.0,0.20025,0,0.0,0,0.0,0.61667,0.0,0,0.0,1.0483,0.0
Alistipes_onderdonkii,0,6.1295,0.0,0,0.14474,0.00065,0.3842,6.70572,0.19532,1.40841,0.64677,0.41568,0.0,0.52536,0.04421,0.0,0.05299,1.22201,0.00744,0,0.0,3.60242,0,0.0023,0.06433,4.3048,1.58458,0.13228,2.66074,0,1.04222,9.87179,0.86816,0.0,4.63268,1.69395,0.02017,0.29244,0,1.09642,1.46085,0.63062,0.96697,0.37604,0.18718,0.54623,0,0.65931,0.63375,0.00038,0.11495,2.51775,0.04285,0.0,0.00207,0.02626,0.31663,0.01368,1.21479,0.88017,0.00091,0.06452,4.06926,6.15742,3.34604,7.24194,0.1808,1.78049,0.0,2.91988,0.69728,2.66341,0.42758,0.01806,0.0,0,8.03118,0.31527,1.56845,0.32576,0.04837,0.93448,1.93736
GGB9176_SGB14114,1.57745,0.26219,0.0,0,0,0.0,0.20951,0.0,0.0,0.0,0.66116,0.0,0.0,0.51356,0,0.0,0.0,0,0.0,0,0.32896,0,0,0.00287,0.0,0.37334,0.45461,0,0,0,0.67482,0.0,0.0,0.0,0,1.4682,0.0,0.0,1.56891,0.0,2.63234,4.0804,0.05128,0,0.0,0.91772,0.25544,0,0.1157,0.0,0,0.6601,0.0,0.0,0.0,0.00071,0.0,0,1.11693,0.4208,0.0,0.40883,0.0,1.52341,2.47101,0,0.73941,0,0.0,0,0,0.0,0.02099,0,0.0,0,0.0,0.0,0.0,0,0.0,0.89863,0.0
GGB9633_SGB15091,0,0.27752,0.0,0,0,0.0,1.17321,0.0,0.0,0.0,0,0.0,0.0,0,0.00169,0.0,0.0,0.24497,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2.56838,0.9056,0.0,4.46861,0.0845,0.0,0,0.16449,0.0,0.0,0.13488,0.0,0.0,0.09525,0.6758,2.20025,0.03144,0.0,0,0,5.54015,0.0,0.18684,0,0.29079,0.0,0.04591,0.62007,0.0,0.00685,0,0.37514,0.0,0,0.0,0,0,0.00347,0,4.53805,0.0,0,0,0.0,4.02701,0.49825,0.0,1.54006,0.60659,0.0,0.0,0,3.19775,0.85167,0.0
Bacteroides_togonis,0.14446,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.69199,0.0,0.0,0.08579,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.25134,0.0,0,0.0,0.0,0,0,0.37884,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.43039,0.0,0,0.0,0.0,0.0,0,0.0,0.84142,0.0
Bacteroidales_bacterium,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00095,0.0,1.71978,0,0.0,0.0,0,0.0,0,0.0,0.74767,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.32536,0.0,0.0,1.15805,0.0,0,0.0,0.11787,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,3.35708,6.1919,0.0,0.0,0.8206,0.0,0,0.18518,0.0,2.7067,0,0.0,0.82899,0.0
Faecalibacterium_prausnitzii,3.27347,2.08873,5.346,4.00523,0.03503,5.52711,4.65983,7.32554,3.0622,7.85799,1.99435,6.07765,0.99308,6.35084,4.61711,1.68202,1.27366,3.9052,4.48941,9.28477,4.89937,4.88304,0.00094,8.54324,0.80457,2.17983,0.59368,1.76842,2.37274,2.3799,9.70572,1.44933,6.70544,4.85783,9.21305,4.15059,6.57354,2.93156,2.77419,2.76836,3.50536,0.76425,4.15345,4.18674,5.53867,4.15528,4.26136,5.00029,0.43056,7.85148,7.47864,5.25934,6.25115,1.58164,3.61577,4.34496,1.4727,6.0964,6.75562,8.94969,4.95398,5.1676,1.32515,5.66657,1.30039,0.7407,6.40282,5.88794,0.0,0.07409,4.17093,2.38623,0.67773,4.57459,12.45123,4.0559,2.32302,10.12409,3.47797,3.71908,3.94931,0.74232,3.01215
GGB1407_SGB1931,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,2.78181,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.21309,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.00697,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.73216,0.0
Phocaeicola_dorei,8.88955,0,0.00063,0.0028,0.02987,0.0,0.44082,13.41486,0.00719,1.28925,0.88897,0.53611,0.1054,0.38994,4.18889,0.47026,1.29555,0.00557,12.88746,7.65685,0.09773,14.10381,0.0084,0.18631,3.45329,0.00605,7.23879,1.17455,4.84003,3.83669,1.05458,0.00441,2.87461,0.00364,0.08643,0.05724,0.31241,0.0,1.78235,0.48655,0.00217,2.49438,5.28425,0.00109,0.87615,0.0029,1.71031,0.03504,0.11392,0.00198,0.13566,0.70601,7.11663,3.77942,0.04928,0.84194,1.60309,0,0.42713,0.38366,0.0463,0.44887,2.34681,1.0268,0.68214,0.00055,0,0.31258,0.00117,0.06755,0.01182,1.00847,0.06274,0.01637,12.11962,0.00095,1.40224,5.69023,0.08899,0.13176,1.2849,0.64887,0.00024
Candidatus_Neoclostridium_roslinense,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0716,0.05704,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.28237,0.0,0.0,0,0.0,0.58803,0.0
Opitutales_bacterium,0,0,0.0,0,0,0.0,0.076,0.0,0.0,0.0942,0.04195,0.0,0.0,0.32738,0,0.0,0.0,0,0.0,0,0.17222,0,0,0.0,0.0,0.0,0.0,0,0,0.10677,0.3023,0.0,0.0,0.0,0,0.26856,0.0,0.0,1.27502,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.24018,0.2604,0.0,0,0,0.00202,0.0,0.0,0.0,0.0,0,0.59653,0.0,0.0066,0,0.0,0,0,0,0.23594,0,0.0,0.0057,0,0.0,0.0,0.34197,0.0,0,0.0,0.0,0.0,0,0.0,0.57666,0.0
Acidaminococcaceae_unclassified_SGB5785,0.98652,0,1.60764,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.92484,0.12269,1.46566,0,0.846,0.0,0.00671,0.0,0,0,0,0.0,0.0,0.99723,0.0,0,1.71829,0.0,1.18453,0,0.0,1.56723,0.27924,0.0,0,0.0,0.0,0,0,0,0.0,0.0363,0,0.0,0.0,0.0,0.00323,0.0,0,0,0.0,1.44036,0,0.0,0.73083,0.57579,0,0,0,0.0,0,0,0.0,0.0,0.11034,0.0,0,0.0,0.0,0.0,0,0.0,0.53229,0.0
